FOLD,SHIP_NO,DWG_NO,TRUE_CODE,PRED_CODE
1,409206,WA800HB16,1_G,"1_G, 1_E"
1,409406,WA240BB21,1_G,"1_G, 1_D"
1,251806,WH11CY711,1_G,"1_G, 1_1"
1,814306,WF21CF761,1_G,"1_G, 1_1"
1,814606,NE35PK714,1_G,"1_G, 1_1"
1,254406,WH22CH717,1_G,"1_G, 1_1"
1,252006,WH22CH717,1_G,"1_G, 1_1"
1,251706,WA230BB21,1_G,"1_G, 1_1"
1,251406,WA230BB21,1_G,"1_G, 1_1"
1,256306,SE12CA201,1_G,"1_1, 1_G"
1,409306,SE24CC101,1_G,"1_1, 1_G"
1,409206,SE24CC101,1_G,"1_1, 1_G"
1,254206,WA500EB11,1_G,"1_G, 1_1"
1,252106,WA500EB11,1_G,"1_G, 1_1"
1,252006,WA500TB52,1_G,"1_G, 1_1"
1,252006,WH51CY711,1_G,"1_G, 1_1"
1,251706,WH51CY711,1_G,"1_G, 1_1"
1,251306,WH51CY711,1_G,"1_G, 1_1"
1,408906,WH11CF782,1_G,"1_A, 1_1"
1,409206,SN21CA201,1_G,"1_1, 1_G"
1,242206,WH32CB721,1_G,"1_G, 1_1"
1,241506,WH32CB721,1_G,"1_G, 1_1"
1,242806,WF61SF761,1_G,"1_1, 1_G"
1,251606,WF61PT761,1_G,"1_G, 1_1"
1,814806,WA151EB11,1_G,"1_G, 1_3"
1,252006,2A800A060,1_G,"1_G, 1_1"
1,252106,2A800A060,1_G,"1_G, 1_1"
1,251806,WA280EB11,1_G,"1_G, 1_1"
1,251606,WA280EB11,1_G,"1_G, 1_1"
1,251506,WA280EB11,1_G,"1_G, 1_1"
1,244606,WH11CY711,1_G,"1_G, 1_1"
1,247406,WM1-ABM29,1_G,"1_G, 1_1"
1,251306,W1D18TM51,1_G,"1_1, 1_D"
1,242406,WD92PF751,1_G,"1_G, 1_2"
1,242306,WD92PF751,1_G,"1_G, 1_2"
1,254306,SE12CA201,1_G,"1_1, 1_G"
1,252206,WH22CE711,1_G,"1_G, 1_1"
1,251906,WH22CE711,1_G,"1_G, 1_1"
1,251306,WH22CE711,1_G,"1_G, 1_1"
1,242406,SN31BA202,1_G,"1_1, 1_G"
1,249906,WA100FB12,1_G,"1_G, 2_4"
1,247306,WA281EB11,1_G,"1_G, 1_1"
1,254306,W1D18F851,1_G,"1_G, 1_D"
1,408506,SS16BA201,1_G,"1_1, 1_G"
1,252106,W1D18F851,1_G,"1_G, 1_D"
1,251506,W1D18F851,1_G,"1_G, 1_D"
1,244606,WD92PF751,1_G,"1_G, 1_2"
1,814806,1A000E009,1_G,"1_G, 1_1"
1,814706,1A000E009,1_G,"1_G, 1_1"
1,814006,WA600FB61,1_G,"1_G, 1_1"
1,251606,WA100FB12,1_G,"1_G, 2_4"
1,251206,WA100FB12,1_G,"1_G, 2_4"
1,251706,WH11CH716,1_G,"1_G, 1_1"
1,247506,WA500FB51,1_G,"1_G, 1_D"
1,249106,WA500FB51,1_G,"1_G, 1_D"
1,814806,WN22ST712,1_G,1_G
1,409406,WB19CF761,1_G,1_G
1,409306,WB19CF761,1_G,1_G
1,241906,W1D14F842,1_G,"1_G, 1_D"
1,242206,W1D14F842,1_G,"1_G, 1_D"
1,241806,W1D14F842,1_G,"1_G, 1_D"
1,252106,1A000E002,1_G,"1_G, 1_1"
1,251906,1A000E002,1_G,"1_G, 1_1"
1,254106,1A000E002,1_G,"1_G, 1_1"
1,814806,WA500FB51,1_G,"1_G, 1_D"
1,816406,SS15BA201,1_G,"1_1, 1_G"
1,S42006,WA500FB51,1_G,"1_G, 1_1"
1,816306,WA280KB31,1_G,"1_G, 1_D"
1,251906,WH51CY711,1_G,"1_G, 1_1"
1,251606,WH51CY711,1_G,"1_G, 1_1"
1,251606,1A000E002,1_G,"1_G, 1_1"
1,251306,1A000E002,1_G,"1_G, 1_1"
1,254406,WH51CH719,1_G,"1_G, 1_D"
1,252206,WH11CY711,1_G,"1_G, 1_1"
1,252006,WH11CY711,1_G,"1_G, 1_1"
1,251506,WH11CY711,1_G,"1_G, 1_1"
1,251506,WA800FB82,1_G,"1_G, 1_1"
1,251306,WA800FB82,1_G,"1_G, 1_1"
1,252106,WH12CT711,1_G,"1_1, 1_G"
1,251706,WH12CT711,1_G,"1_1, 1_G"
1,251206,WH12CT711,1_G,"1_1, 1_G"
1,246706,WA500TB52,1_G,"1_G, 1_1"
1,251706,WA600EB11,1_G,"1_G, 1_9"
1,251206,WA600EB11,1_G,"1_G, 1_9"
1,814106,WA100FB12,1_G,"1_G, 1_1"
1,251706,WA230EB11,1_G,"1_G, 1_1"
1,814206,SS64BC101,1_G,"1_1, 1_G"
1,816306,1A000E003,1_G,"1_G, 1_1"
1,251606,WH51CH719,1_G,"1_G, 1_D"
1,248006,WA100TB11,1_G,"1_1, 1_G"
1,251406,2A000H002,1_G,"1_G, 1_2"
1,814806,W2E32B921,1_G,"1_1, 1_G"
1,814206,WN61ST741,1_G,"1_G, 1_1"
